stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
"de:08212:6218:11:11","Karlsruhe Welfenstraße","48.99530625","8.38621335","0100","","","Pde:08212:6218"
"de:08212:6218:12:12","Karlsruhe Welfenstraße","48.99508817","8.38624929","0100","","","Pde:08212:6218"
"de:08212:6218:2:2","Karlsruhe Welfenstraße","48.99523552","8.38553962","0100","","","Pde:08212:6218"
"de:08212:622:1:1","Karlsruhe Ostendstraße","49.00513653","8.41601047","0100","","","Pde:08212:622"
"de:08212:622:2:2","Karlsruhe Ostendstraße","49.00497153","8.41654946","0100","","","Pde:08212:622"
"de:08212:6220:0:12","Daxlanden A.-Dosenbach-Straße","49.00206625","8.34297744","0100","","","Pde:08212:6220"
"de:08212:6221:0:1","Daxlanden Agathenstraße","48.99970890","8.33434463","0100","","",""
"de:08212:6222:0:11","Daxlanden Turnerstraße","49.00181873","8.33700364","0100","","",""
"de:08212:6223:0:11","Daxlanden Kirschstraße","49.00167730","8.33337445","0100","","",""
"de:08212:6224:0:22","Daxlanden Pfalzstraße","49.00460028","8.33579092","0100","","",""
"de:08212:6225:0:21","Daxlanden Inselstraße","49.00645062","8.32898169","0100","","",""
"de:08212:623:1:1","Karlsruhe Wolfartsweierer Str.","49.00356311","8.42306225","0100","","","Pde:08212:623"
"de:08212:623:12:12","Karlsruhe Wolfartsweierer Str.","49.00393437","8.42426599","0100","","","Pde:08212:623"
"de:08212:623:2:2","Karlsruhe Wolfartsweierer Str.","49.00339810","8.42363717","0100","","","Pde:08212:623"
"de:08212:623:21:21","Karlsruhe Wolfartsweierer Str.","49.00369276","8.42299936","0100","","","Pde:08212:623"
"de:08212:624:1:1","Karlsruhe Schloss Gottesaue","49.00365151","8.42692500","0100","","","Pde:08212:624"
"de:08212:624:2:2","Karlsruhe Schloss Gottesaue","49.00363383","8.42794908","0100","","","Pde:08212:624"
"de:08212:626:1:1","Karlsruhe Essenweinstraße","49.00931440","8.43186574","0100","","","Pde:08212:626"
"de:08212:626:2:2","Karlsruhe Essenweinstraße","49.01012754","8.43190167","0100","","","Pde:08212:626"
"de:08212:63:1:1","Karlsruhe Kolpingplatz","48.99773454","8.39380412","0100","","","Pde:08212:63"
"de:08212:63:11:11","Karlsruhe Kolpingplatz","48.99788777","8.39382208","0100","","","Pde:08212:63"
"de:08212:63:12:12","Karlsruhe Kolpingplatz","48.99791135","8.39376818","0100","","","Pde:08212:63"
"de:08212:63:2:2","Karlsruhe Kolpingplatz","48.99738680","8.39371429","0100","","","Pde:08212:63"
"de:08212:64:1:1","Karlsruhe Arbeitsagentur","49.00391669","8.38649183","0100","","","Pde:08212:64"
"de:08212:64:2:2","Karlsruhe Arbeitsagentur","49.00324488","8.38638403","0100","","","Pde:08212:64"
"de:08212:65:1:1","Karlsruhe ZKM","48.99979730","8.38607861","0100","","","Pde:08212:65"
"de:08212:65:11:11","Karlsruhe ZKM","48.99885434","8.38378790","0100","","","Pde:08212:65"
"de:08212:65:11:12","Karlsruhe ZKM","48.99871289","8.38449757","0100","","","Pde:08212:65"
"de:08212:65:2:2","Karlsruhe ZKM","48.99898989","8.38594386","0100","","","Pde:08212:65"
"de:08212:7:1:1","KA Tullastraße/Alter Schlachthof","49.00629152","8.43165014","0100","","","Pde:08212:7"
"de:08212:7:2:2","KA Tullastraße/Alter Schlachthof","49.00609706","8.43252151","0100","","","Pde:08212:7"
"de:08212:7:3:3","KA Tullastraße/Alter Schlachthof","49.00612063","8.43253947","0100","","","Pde:08212:7"
"de:08212:7:4:4","KA Tullastraße/Alter Schlachthof","49.00590849","8.43352762","0100","","","Pde:08212:7"
"de:08212:7:5:5","KA Tullastraße/Alter Schlachthof","49.00672169","8.43129081","0100","","","Pde:08212:7"
"de:08212:7:6:6","KA Tullastraße/Alter Schlachthof","49.00733452","8.43154234","0100","","","Pde:08212:7"
"de:08212:7003:1:1","Karlsruhe Kunstakademie/Hochschule","49.01461726","8.38562945","0100","","","Pde:08212:7003"
"de:08212:7003:2:2","Karlsruhe Kunstakademie/Hochschule","49.01412824","8.38568335","0100","","","Pde:08212:7003"
"de:08212:7009:1:1","Karlsruhe Heidehof","49.03167684","8.38712065","0100","","","Pde:08212:7009"
"de:08212:7009:11:11","Karlsruhe Heidehof","49.03122333","8.38702184","0100","","","Pde:08212:7009"
"de:08212:7009:12:12","Karlsruhe Heidehof","49.03152959","8.38703082","0100","","","Pde:08212:7009"
"de:08212:7009:12:13","Karlsruhe Heidehof","49.03045765","8.38709370","0100","","","Pde:08212:7009"
"de:08212:7009:2:2","Karlsruhe Heidehof","49.03104074","8.38693201","0100","","","Pde:08212:7009"
"de:08212:7009:24:24","Karlsruhe Heidehof","49.03126456","8.38734523","0100","","","Pde:08212:7009"
"de:08212:7009:25:25","Karlsruhe Heidehof","49.03112909","8.38678827","0100","","","Pde:08212:7009"
"de:08212:7012:0:1","Neureut Flughafenstraße","49.03614694","8.38052702","0100","","","Pde:08212:7012"
"de:08212:7012:0:2","Neureut Flughafenstraße","49.03613516","8.38064380","0100","","","Pde:08212:7012"
"de:08212:7013:0:1","KA Kaiserslauterner Straße","49.03682420","8.37402321","0100","","","Pde:08212:7013"
"de:08212:7013:0:2","KA Kaiserslauterner Straße","49.03656507","8.37428373","0100","","","Pde:08212:7013"
"de:08212:7013:0:3","KA Kaiserslauterner Straße","49.03624706","8.37432864","0100","","","Pde:08212:7013"
"de:08212:7013:0:4","KA Kaiserslauterner Straße","49.03632951","8.37427474","0100","","","Pde:08212:7013"
"de:08212:7014:0:1","Karlsruhe Schweigener Straße","49.03850846","8.36957655","0100","","","Pde:08212:7014"
"de:08212:7014:0:2","Karlsruhe Schweigener Straße","49.03839657","8.36957655","0100","","","Pde:08212:7014"
"de:08212:7015:0:1","Karlsruhe Weißenburger Straße","49.03709509","8.36716907","0100","","","Pde:08212:7015"
"de:08212:7015:0:2","Karlsruhe Weißenburger Straße","49.03683008","8.36682771","0100","","","Pde:08212:7015"
"de:08212:7016:0:1","Karlsruhe Germersheimer Straße","49.03302557","8.36473463","0100","","","Pde:08212:7016"
"de:08212:7016:0:2","Karlsruhe Germersheimer Straße","49.03274876","8.36497718","0100","","","Pde:08212:7016"
"de:08212:7017:0:1","Karlsruhe Berliner Straße","49.03010426","8.36490531","0100","","","Pde:08212:7017"
"de:08212:7017:0:2","Karlsruhe Berliner Straße","49.03048121","8.36497718","0100","","","Pde:08212:7017"
"de:08212:7017:0:26","Karlsruhe Berliner Straße","49.03085816","8.36325241","0100","","","Pde:08212:7017"
"de:08212:7017:0:3","Karlsruhe Berliner Straße","49.03084638","8.36424954","0100","","","Pde:08212:7017"
"de:08212:7017:0:4","Karlsruhe Berliner Straße","49.03080515","8.36423158","0100","","","Pde:08212:7017"
"de:08212:7018:0:1","Karlsruhe Madenburgweg","49.02717688","8.36535447","0100","","","Pde:08212:7018"
"de:08212:7018:0:2","Karlsruhe Madenburgweg","49.02714743","8.36552515","0100","","","Pde:08212:7018"
"de:08212:7019:0:1","Karlsruhe Barbaraweg","49.02396658","8.36588448","0100","","","Pde:08212:7019"
"de:08212:7019:0:2","Karlsruhe Barbaraweg","49.02396658","8.36603719","0100","","","Pde:08212:7019"
"de:08212:7020:1:1","Neureut Blankenlocher Weg","49.05349350","8.39971503","0100","","","Pde:08212:7020"
"de:08212:7020:1:2","Neureut Blankenlocher Weg","49.05362302","8.39911316","0100","","","Pde:08212:7020"
